application_id,app_name ,lob,app_team_DL ,ucd_comp_name ,circle_name ,LI_is_DU ,app_lead ,scm_url ,scm_type ,job_url,jenkins_team_name ,job_type ,is_template_used ,is_trunk_based ,build_tool ,technology,template_name ,template_catalog_used ,created_date_time ,is_public_cloud ,public_cloud_tool ,job_status ,deployment_tool ,is_unit_test_enabled ,is_pmd_enabled ,is_clover_enabled ,is_jacoco_enabled ,is_lint_enabled ,is_cobertura_enabled ,is_code_quality_enabled ,is_integration_test_enabled ,integration_test_tool,is_black_duck_enabled ,deployed_buildpack_name ,detected_buildpack,buildpack_version ,pcf_app_name ,pcf_app_last_updated,pcf_app_last_push ,gradle_image ,node_image ,gradle_image_status ,node_image_status ,is_app_scan_enabled ,foundation ,kaniko_image ,python_image ,soapui_image ,kaniko_image_status ,python_image_status ,soapui_image_status ,job_style,ucd_app_name ,unknown_image,bdh_critical ,bdh_high ,bdh_medium ,bdh_low ,is_myapproval_enabled ,is_hsp_prod_enabled ,bdh_url,bdh_tags,branch_coverage,class_coverage,complexity_score,instruction_coverage,line_coverage,method_coverage,clover_total_covered,clover_total_missed,clover method coverage,clover_conditions_coverage,clover_statements coverage,is_prod_enabled,environment,target_infrastructure
1,pi_emp_portal_1,personal_insurance,pinsurance_dev_team@accenture.com,personal_comp,personal_circle,Yes,test,www.github.com,GitHub,www.jenkins.com,jenkins_team,batch,yes,yes,gradle,java,personal_template,personal_catalog1,na,y,aws,completed,ucd,y,y,y,n,na,na,n,na,na,y,na,na,na,na,na,na,na,na,na,na,y,na,na,na,na,na,na,na,na,na,na,n,n,n,n,n,n,na,na,na,na,na,na,na,na,na,na,na,na,na,y,production,na
2,pi_emp_portal_2,personal_insurance,pinsurance_dev_team@accenture.com,personal_comp,personal_circle,Yes,test,www.github.com,GitHub,www.jenkins.com,jenkins_team,batch,yes,yes,gradle,java,personal_template,personal_catalog1,na,y,aws,completed,ucd,y,y,y,n,na,na,n,na,na,y,na,na,na,na,na,na,na,na,na,na,y,na,na,na,na,na,na,na,na,na,na,n,n,n,n,n,n,na,na,na,na,na,na,na,na,na,na,na,na,na,y,production,na
3,pi_emp_portal_3,personal_insurance,pinsurance_dev_team@accenture.com,personal_comp,personal_circle,Yes,test,www.github.com,GitHub,www.jenkins.com,jenkins_team,batch,yes,yes,gradle,java,personal_template,personal_catalog1,na,y,aws,completed,ucd,y,y,y,n,na,na,n,na,na,y,na,na,na,na,na,na,na,na,na,na,y,na,na,na,na,na,na,na,na,na,na,n,n,n,n,n,n,na,na,na,na,na,na,na,na,na,na,na,na,na,y,production,na
4,pi_emp_portal_4,personal_insurance,pinsurance_dev_team@accenture.com,personal_comp,personal_circle,Yes,test,www.github.com,GitHub,www.jenkins.com,jenkins_team,batch,yes,yes,npm,nodejs,personal_template,personal_catalog1,na,y,aws,completed,ucd,y,y,y,n,na,na,n,na,na,y,na,na,na,na,na,na,na,na,na,na,y,na,na,na,na,na,na,na,na,na,na,n,n,n,n,n,n,na,na,na,na,na,na,na,na,na,na,na,na,na,y,production,na
5,pi_emp_portal_5,personal_insurance,pinsurance_dev_team@accenture.com,personal_comp,personal_circle,Yes,test,www.github.com,GitHub,www.jenkins.com,jenkins_team,batch,yes,yes,npm,nodejs,personal_template,personal_catalog1,na,y,aws,completed,ucd,y,y,y,n,na,na,n,na,na,y,na,na,na,na,na,na,na,na,na,na,y,na,na,na,na,na,na,na,na,na,na,n,n,n,n,n,n,na,na,na,na,na,na,na,na,na,na,na,na,na,y,production,na
6,pi_emp_portal_6,personal_insurance,pinsurance_dev_team@accenture.com,personal_comp,personal_circle,Yes,test,www.github.com,GitHub,www.jenkins.com,jenkins_team,batch,yes,yes,npm,nodejs,personal_template,personal_catalog1,na,y,aws,completed,ucd,y,y,y,n,na,na,n,na,na,y,na,na,na,na,na,na,na,na,na,na,y,na,na,na,na,na,na,na,na,na,na,n,n,n,n,n,n,na,na,na,na,na,na,na,na,na,na,na,na,na,y,production,na
7,pi_emp_portal_7,personal_insurance,pinsurance_dev_team@accenture.com,personal_comp,personal_circle,Yes,test,www.github.com,GitHub,www.jenkins.com,jenkins_team,batch,yes,yes,npm,nodejs,personal_template,personal_catalog1,na,y,aws,completed,ucd,y,y,y,n,na,na,n,na,na,y,na,na,na,na,na,na,na,na,na,na,y,na,na,na,na,na,na,na,na,na,na,n,n,n,n,n,n,na,na,na,na,na,na,na,na,na,na,na,na,na,y,production,na
8,pi_emp_portal_8,personal_insurance,pinsurance_dev_team@accenture.com,personal_comp,personal_circle,Yes,test,www.github.com,GitHub,www.jenkins.com,jenkins_team,batch,yes,yes,python,python,personal_template,personal_catalog1,na,y,aws,completed,aws_cli,y,y,y,n,na,na,n,na,na,y,na,na,na,na,na,na,na,na,na,na,y,na,na,na,na,na,na,na,na,na,na,n,n,n,n,n,n,na,na,na,na,na,na,na,na,na,na,na,na,na,y,production,na
9,pi_emp_portal_9,personal_insurance,pinsurance_dev_team@accenture.com,personal_comp,personal_circle,Yes,test,www.github.com,GitHub,www.jenkins.com,jenkins_team,batch,yes,yes,ant,dotnet,personal_template,personal_catalog1,na,y,aws,completed,aws_cli,y,y,y,n,na,na,n,na,na,y,na,na,na,na,na,na,na,na,na,na,y,na,na,na,na,na,na,na,na,na,na,n,n,n,n,n,n,na,na,na,na,na,na,na,na,na,na,na,na,na,y,production,na
10,pi_emp_portal_10,personal_insurance,pinsurance_dev_team@accenture.com,personal_comp,personal_circle,Yes,test,www.github.com,GitHub,www.jenkins.com,jenkins_team,batch,yes,yes,ant,dotnet,personal_template,personal_catalog1,na,y,aws,completed,aws_cli,y,y,y,n,na,na,n,na,na,y,na,na,na,na,na,na,na,na,na,na,y,na,na,na,na,na,na,na,na,na,na,n,n,n,n,n,n,na,na,na,na,na,na,na,na,na,na,na,na,na,y,production,na
11,business_insurance,business_insurance,binsurance_dev_team@accenture.com,business_comp,business_circle,Yes,test,www.github.com,GitHub,www.jenkins.com,jenkins_team,batch,yes,yes,gradle,java,business_template,business_catalog1,na,y,azure,na,ucd,y,y,n,y,na,na,y,na,na,y,na,na,na,na,na,na,na,na,na,na,y,na,na,na,na,na,na,na,na,na,na,n,y,n,n,n,y,na,na,na,na,na,na,na,na,na,na,na,na,na,n,model_office,na
